state,district,n_teaminc,n_perinc,n_splform,n_sdreport,structuressub,n_mintest,n_minmeds,inputssub,n_jasestb,n_jasmtg,n_cbac,n_abha,communitysub,n_nqas,n_kayakalp,qasub,capacity,n_anc4,n_facilitybirth,n_c_fpunmet,n_fpcounseling,fpreproductivesub_sd,n_hbnc,n_breastfed,n_fullimmun,neonatalchildsub,n_footfall,n_teleconsult,opdsub,n_htnscreen,n_oralscreen,n_cervicalscreen,n_dmcontrol,n_htncontrol,ncdsub_sd,servicedelivery,n_c_anemia,n_c_stunted,fpreproductivesub_im,n_tbtrt,n_c_diarrhea,n_c_ari,communicablesub,n_c_htnf,n_c_htnm,n_c_dmf,n_c_dmm,ncdsub_im,impact,cphcindex,teaminc,perinc,splform,sdreport,mintest,minmed,jasestb,jasmtg,cbac,abha,nqas,kayakalp,anc4,facilitybirth,hbnc,breastfed,fullimmun,fpunmet,fpcounseling,footfall,teleconsult,htnscreen,oralscreen,cervicalscreen,dmcontrol,htncontrol,anemia,stunted,tbtrt,diarrhea,ari,htnf,htnm,dmf,dmm
1,Ahmedabad,0.3451,0.313,0.82,0.1886,0.416675,0.1352,0.96,0.5476,0.7117438,0.032,0.2562,0.1285,0.28211095,0.225,0.3297872,0.2773936,0.380944888,0.778,0.945,0.935,0.362,0.755,1,0.339,0.652,0.663666667,0.0127698,0.0380064,0.0253881,0.0591,0.255,0.221,0.033625,0.014625,0.11667,0.390181192,0.365,0.645,0.505,0.185,0.982,0.99,0.719,0.815,0.8380001,0.797,0.799,0.812250025,0.678750008,0.483292029,34.51,31.3,82,18.86,13.52,96,71.17,3.2,25.62,12.85,18,33,77.8,94.5,101.4095463,33.9,65.2,6.5,36.2,0.09352902,0.00379143,5.91,25.5,22.1,2.69,1.17,63.5,35.5,18.5,1.8,1,18.5,16.2,20.3,20.1
1,Amreli,0.189,0.185,0.686,0.2899,0.337475,0.0168,0.87,0.4434,0.9327731,0,0.1849,0.2867,0.351093275,0.0375,0.0404858,0.0389929,0.292740294,0.926,0.901,0.905,0.3,0.758,1,0.404,0.601,0.668333333,0.0681039,0.2269759,0.1475399,0.1463,0.4141,0.3591,0.060625,0.047875,0.2056,0.444868308,0.497,0.647,0.572,0.18,0.965,0.997,0.714,0.82,0.885,0.845,0.827,0.84425,0.710083333,0.482563978,18.9,18.5,68.6,28.99,1.68,87,93.28,0,18.49,28.67,3,4,92.6,90.1,102.0337013,40.4,60.1,9.5,30,0.2107944,0.01463634,14.63,41.41,35.91,4.85,3.83,50.3,35.3,18,3.5,0.3,18,11.5,15.5,17.3
1,Anand,0.205,0.194,0.8219,0.2367,0.3644,0.0565,0.96,0.50825,0.7102473,0.0071,0.2332,0.2274,0.294486825,0.1375,0.0967742,0.1171371,0.321068481,0.642,0.96,0.835,0.239,0.669,1,0.337,0.77,0.702333333,0.0557508,0.1928045,0.12427765,0.1267,0.4601,0.4202,0.064875,0.040375,0.22245,0.429515246,0.334,0.616,0.475,0.266,0.883,1,0.716333333,0.734,0.731,0.834,0.845,0.786,0.659111111,0.469898279,20.5,19.4,82.19,23.67,5.65,96,71.02,0.71,23.32,22.74,11,9.7,64.2,96,102.6505061,33.7,77,16.5,23.9,0.18461537,0.01267525,12.67,46.01,42.02,5.19,3.23,66.6,38.4,26.6,11.7,0,26.6,26.9,16.6,15.5
1,Aravalli,0.093,0.098,0.8562,0.2022,0.31235,0.0437,0.86,0.45185,0.8087432,0,0.1858,0.2381,0.3081608,0.225,0.3535912,0.2892956,0.3404141,0.738,0.922,0.888,0.3,0.712,1,0.33,0.77,0.7,0.0884879,0.6028007,0.3456443,0.1562,0.6026,0.4648,0.008375,0,0.246395,0.501009825,0.229,0.529,0.379,0.21,0.834,0.982,0.675333333,0.79,0.78,0.876,0.849,0.82375,0.626027778,0.489150568,9.3,9.8,85.62,20.22,4.37,86,80.87,0,18.58,23.81,18,35.4,73.8,92.2,112.9972131,33,77,11.2,30,0.2539925,0.03620483,15.62,60.26,46.48,0.67,0,77.1,47.1,21,16.6,1.8,21,22,12.4,15.1
1,Banaskantha,0.137,0.143,0.7507,0.1875,0.30455,0.1038,0.96,0.5319,0.8616071,0.0525,0.317,0.1323,0.340851775,0.1375,0.1302774,0.1338887,0.327797619,0.561,0.929,0.815,0.251,0.639,0.9249108,0.479,0.435,0.612970267,0.0044044,0.0274073,0.01590585,0.1882,0.6876,0.5381,0.1835,0.07075,0.33363,0.400376529,0.314,0.61,0.462,0.143,0.923,1,0.688666667,0.857,0.8430001,0.871,0.8419999,0.85325,0.667972222,0.465382123,13.7,14.3,75.07,18.75,10.38,96,86.16,5.25,31.7,13.23,11,13,56.1,92.9,92.49107598,47.9,43.5,18.5,25.1,0.07580067,0.00318315,18.82,68.76,53.81,14.68,5.66,68.6,39,14.3,7.7,0,14.3,15.7,12.9,15.8
1,Bharuch,0.332,0.325,0.7814,0.4562,0.47365,0.0584,0.76,0.4092,0.6350365,0.0036,0.3175,0.3481,0.326059125,0.0625,0.2095588,0.1360294,0.336234631,0.657,0.911,0.797,0.162,0.63175,1,0.307,0.8,0.702333333,0.0730314,0.2358947,0.15446305,0.1758,0.6376,0.586,0.025375,0.0245,0.289855,0.444600346,0.284,0.591,0.4375,0.237,0.888,0.996,0.707,0.763,0.751,0.82,0.795,0.78225,0.64225,0.474361659,33.2,32.5,78.14,45.62,5.84,76,63.5,0.36,31.75,34.81,5,21,65.7,91.1,101.3216561,30.7,80,20.3,16.2,0.22123671,0.01514819,17.58,63.76,58.6,2.03,1.96,71.6,40.9,23.7,11.2,0.4,23.7,24.9,18,20.5
1,Bhavnagar,0.256,0.202,0.7899,0.1807,0.35715,0.0301,0.92,0.47505,0.9126506,0.009,0.3855,0.1512,0.36458765,0.175,0.2848297,0.22991485,0.356675625,0.709,0.942,0.845,0.126,0.6555,0.9103742,0.339,0.743,0.664124733,0.0442837,0.1451533,0.0947185,0.1157,0.301,0.2172,0.226375,0.098,0.191655,0.401499558,0.509,0.674,0.5915,0.201,0.889,0.982,0.690666667,0.799,0.82,0.836,0.829,0.821,0.701055556,0.486410246,25.6,20.2,78.99,18.07,3.01,92,91.27,0.9,38.55,15.12,14,28.5,70.9,94.2,91.03741878,33.9,74.3,15.5,12.6,0.160314,0.00994056,11.57,30.1,21.72,18.11,7.84,49.1,32.6,20.1,11.1,1.8,20.1,18,16.4,17.1
1,Botad,0.1373,0.0784,0.75,0.1373,0.27575,0.0098,0.75,0.3799,0.8823529,0,0.2353,0.2334,0.337763225,0.0625,0.0823529,0.07242645,0.266459919,0.827,0.935,0.868,0.174,0.701,1,0.359,0.651,0.67,0.1554792,0.9354667,0.54547295,0.1123,0.3531,0.2696,0,0,0.147,0.515868238,0.409,0.678,0.5435,0.125,0.946,0.994,0.688333333,0.875,0.88,0.833,0.832,0.855,0.695611111,0.492646422,13.73,7.84,75,13.73,0.98,75,88.24,0,23.53,23.34,5,8.2,82.7,93.5,100.9944312,35.9,65.1,13.2,17.4,0.39596219,0.05529645,11.23,35.31,26.96,0,0,59.1,32.2,12.5,5.4,0.6,12.5,12,16.7,16.8
1,Chhotaudepur,0.0906,0.0871,0.6681,0.1324,0.24455,0.1185,0.74,0.42925,0.4878049,0.0035,0.3136,0.1014,0.226576225,0.1875,0.1884058,0.1879529,0.272082281,0.812,0.857,0.949,0.642,0.815,0.8306451,0.244,0.817,0.630548367,0.0632142,0.2653413,0.16427775,0.1871,0.6172,0.5188,0.006375,0.0065,0.267195,0.469255279,0.209,0.514,0.3615,0.194,0.887,0.973,0.684666667,0.806,0.825,0.896,0.862,0.84725,0.631138889,0.45749215,9.06,8.71,66.81,13.24,11.85,74,48.78,0.35,31.36,10.14,15,18.8,81.2,85.7,83.06451613,24.4,81.7,5.1,64.2,0.20043203,0.01683812,18.71,61.72,51.88,0.51,0.52,79.1,48.6,19.4,11.3,2.7,19.4,17.5,10.4,13.8
1,Dahod,0.1083,0.0967,0.7868,0.2553,0.311775,0.2418,0.92,0.5809,0.9052224,0.0135,0.4449,0.1911,0.3886806,0.0625,0.0273973,0.04494865,0.331576063,0.709,0.925,0.923,0.316,0.71825,0.9601648,0.403,0.662,0.675054933,0.0340679,0.1891176,0.11159275,0.1601,0.6074,0.466,0.097,0.045,0.2751,0.444999421,0.246,0.447,0.3465,0.182,0.86,0.9630001,0.668333367,0.818,0.823,0.882,0.886,0.85225,0.622361122,0.466312202,10.83,9.67,78.68,25.53,24.18,92,90.52,1.35,44.49,19.11,5,2.7,70.9,92.5,96.01648352,40.3,66.2,7.7,31.6,0.13866435,0.01246366,16.01,60.74,46.6,7.76,3.6,75.4,55.3,18.2,14,3.7,18.2,17.7,11.8,11.4
